,date,link,company,field,place,round,amount,investor
123,2015.6.30,https://www.itjuzi.com/investevents/9774,景区宝,旅游,北京,Pre-A轮,3000万人民币,投资方未透露
124,2015.6.30,https://www.itjuzi.com/investevents/9788,公司宝,企业服务,北京,Pre-A轮,1200万人民币,投资方未透露
125,2015.6.30,https://www.itjuzi.com/investevents/10446,喜小宝,本地生活,北京,A轮,数千万人民币,联创永宣
126,2015.6.30,https://www.itjuzi.com/investevents/10592,销冠科技,房产服务,浙江,B轮,数千万人民币,经纬中国
127,2015.6.30,https://www.itjuzi.com/investevents/10887,租了么-塔木金融,房产服务,北京,天使轮,1000万人民币,投资方未透露
128,2015.6.30,https://www.itjuzi.com/investevents/10906,最惠保,金融,上海,A轮,数百万美元,投资方未透露
129,2015.6.30,https://www.itjuzi.com/investevents/11368,安心de利,金融,北京,B轮,1000万美元,"人人公司,真格基金"
130,2015.6.30,https://www.itjuzi.com/investevents/11373,55海淘,电子商务,上海,天使轮,未透露,JJ比赛(竞技创投)
131,2015.6.30,https://www.itjuzi.com/investevents/18292,星米互动,游戏,上海,A轮,数千万人民币,"中清龙图(龙图游戏),优格资本"
132,2015.6.30,https://www.itjuzi.com/investevents/18801,爱范儿,文化娱乐,广东,B轮,1232万人民币,投资方未透露
133,2015.6.30,https://www.itjuzi.com/investevents/12127,UCNEST优辰互联,房产服务,北京,天使轮,未透露,险峰长青(险峰华兴)
134,2015.6.30,https://www.itjuzi.com/investevents/12176,好停车,汽车交通,北京,天使轮,1000万人民币,"极客帮创投,乐动卓越"
135,2015.6.30,https://www.itjuzi.com/investevents/12178,三板富,金融,广东,天使轮,1000万人民币,恒泰华盛
136,2015.6.30,https://www.itjuzi.com/investevents/12393,积木云,硬件,广东,A轮,数千万人民币,源码资本
137,2015.6.30,https://www.itjuzi.com/investevents/12836,品效通BiddingOS,广告营销,广东,天使轮,数百万人民币,德迅投资
138,2015.6.30,https://www.itjuzi.com/investevents/13384,友好速搭,电子商务,广东,天使轮,600万人民币,"浙商创投,京东"
139,2015.6.30,https://www.itjuzi.com/investevents/14496,雪球科技,金融,广东,B轮,数千万人民币,投资方未透露
140,2015.6.30,https://www.itjuzi.com/investevents/15056,冻冻-冻品互联,电子商务,北京,Pre-A轮,1000万人民币,"梅花天使创投,安芙兰创投"
141,2015.6.30,https://www.itjuzi.com/investevents/15867,Mr.Hug,旅游,北京,天使轮,800万人民币,投资方未透露
142,2015.6.30,https://www.itjuzi.com/investevents/16042,爱咔咔,广告营销,北京,天使轮,数百万人民币,乾明投资
143,2015.6.30,https://www.itjuzi.com/investevents/16439,青云志科技,企业服务,四川,天使轮,数百万人民币,上海掌门科技
144,2015.6.29,https://www.itjuzi.com/investevents/12218,好邻便利,本地生活,北京,天使轮,数百万人民币,投资方未透露
145,2015.6.29,https://www.itjuzi.com/investevents/13745,火猫TV,游戏,上海,种子轮,未透露,前海开源
146,2015.6.29,https://www.itjuzi.com/investevents/13838,举贤网,企业服务,北京,B轮,数千万人民币,"金慧丰投资,龙翌资本"
147,2015.6.29,https://www.itjuzi.com/investevents/13897,动艺游戏,游戏,上海,A轮,数千万人民币,星河互联
148,2015.6.29,https://www.itjuzi.com/investevents/14228,星推网络,广告营销,浙江,A轮,数千万人民币,京东
149,2015.6.29,https://www.itjuzi.com/investevents/14712,三维家,房产服务,广东,A轮,数千万人民币,广发信德-广发证券
150,2015.6.29,https://www.itjuzi.com/investevents/14932,旅游滇联(财沃旅游),旅游,重庆,天使轮,数百万人民币,险峰长青(险峰华兴)
151,2015.6.29,https://www.itjuzi.com/investevents/16854,我就爱车,汽车交通,浙江,A轮,数千万人民币,宏桥资本
152,2015.6.29,https://www.itjuzi.com/investevents/17031,华大基因,医疗健康,广东,不明确,20亿人民币,泰康人寿
153,2015.6.29,https://www.itjuzi.com/investevents/9377,基少爷,本地生活,上海,种子轮,数十万人民币,"苏河汇,天天投"
154,2015.6.29,https://www.itjuzi.com/investevents/9379,省点事,企业服务,上海,种子轮,未透露,苏河汇
155,2015.6.29,https://www.itjuzi.com/investevents/9380,中科柏诚科技,金融,北京,A轮,2200万人民币,"新沃资本,启赋资本,联想创投集团(乐基金)"
156,2015.6.29,https://www.itjuzi.com/investevents/9382,蘑菇好阿姨,本地生活,上海,种子轮,数十万人民币,苏河汇
157,2015.6.29,https://www.itjuzi.com/investevents/9383,OneWayCATE,本地生活,上海,种子轮,数十万人民币,"苏河汇,天天投"
158,2015.6.29,https://www.itjuzi.com/investevents/9387,学姐帮,社交网络,四川,种子轮,数十万人民币,"苏河汇,天天投"
159,2015.6.29,https://www.itjuzi.com/investevents/9389,墨麟科技,游戏,广东,A轮,2.4亿人民币,"顺荣三七互娱,同创伟业,松禾资本"
160,2015.6.29,https://www.itjuzi.com/investevents/9392,天平派,本地生活,北京,A轮,600万美元,复星昆仲
161,2015.6.29,https://www.itjuzi.com/investevents/9393,ANE安能物流,物流,上海,D轮,1.2亿美元,凯雷亚洲基金
162,2015.6.29,https://www.itjuzi.com/investevents/9395,龙视传媒,文化娱乐,香港,A轮,2650万美元,光线传媒
163,2015.6.29,https://www.itjuzi.com/investevents/9452,幻想盈行,金融,北京,天使轮,未透露,投资方未透露
164,2015.6.29,https://www.itjuzi.com/investevents/9522,ANN9应用雷达,企业服务,北京,A轮,2000万人民币,华软投资
165,2015.6.29,https://www.itjuzi.com/investevents/9523,铁甲工程机械网,电子商务,北京,B轮,1亿人民币,"DCM中国,启明创投"
166,2015.6.29,https://www.itjuzi.com/investevents/9672,即刻,工具软件,上海,天使轮,数百万人民币,真格基金
167,2015.6.29,https://www.itjuzi.com/investevents/9680,超级食堂,本地生活,浙江,天使轮,数百万人民币,米仓资本
168,2015.6.29,https://www.itjuzi.com/investevents/9883,掌上快销,企业服务,广东,天使轮,数百万人民币,琢石投资
169,2015.6.29,https://www.itjuzi.com/investevents/9969,悟空影视,文化娱乐,广东,天使轮,数百万人民币,赛马资本
170,2015.6.29,https://www.itjuzi.com/investevents/10283,被窝音乐-柠檬海,文化娱乐,广东,A轮,数千万人民币,"腾讯,广发信德-广发证券,分享投资"
171,2015.6.29,https://www.itjuzi.com/investevents/10699,智园控股-创课Tronclass,教育,陕西,A轮,2218万人民币,全通教育
172,2015.6.29,https://www.itjuzi.com/investevents/10727,兜行-八斗互动网络,企业服务,北京,天使轮,数百万人民币,AA投资
173,2015.6.29,https://www.itjuzi.com/investevents/10869,东方幻想EastFantasy,游戏,湖北,天使轮,350万人民币,星辉互动娱乐
174,2015.6.29,https://www.itjuzi.com/investevents/10912,伴米-吹米科技,旅游,北京,A轮,数千万人民币,投资方未透露
175,2015.6.29,https://www.itjuzi.com/investevents/11238,外居乐,房产服务,上海,天使轮,数百万人民币,投资方未透露
176,2015.6.29,https://www.itjuzi.com/investevents/11451,我要跑,电子商务,上海,A轮,数百万美元,联创策源
177,2015.6.29,https://www.itjuzi.com/investevents/17755,叮当快药,医疗健康,北京,A轮,数千万人民币,春风创投(春雨医生)
178,2015.6.29,https://www.itjuzi.com/investevents/19147,明略数据,企业服务,北京,A轮,数千万人民币,天堂硅谷
179,2015.6.29,https://www.itjuzi.com/investevents/19335,信达天下,企业服务,北京,B轮,1500万人民币,昆仑万维
180,2015.6.28,https://www.itjuzi.com/investevents/19857,SITA思塔车联网,汽车交通,天津,天使轮,200万人民币,厚耀资本
181,2015.6.28,https://www.itjuzi.com/investevents/9438,借贷宝,金融,北京,战略投资,3000万人民币,投资方未透露
182,2015.6.28,https://www.itjuzi.com/investevents/9526,淘世界-爱尚找宝,电子商务,北京,B轮,3000万美元,"蘑菇街,元璟资本,源码资本"
183,2015.6.28,https://www.itjuzi.com/investevents/9622,智游啦,旅游,广东,A轮,数千万人民币,投资方未透露
184,2015.6.28,https://www.itjuzi.com/investevents/10027,净净洗衣,本地生活,上海,天使轮,1000万人民币,民生电商
185,2015.6.27,https://www.itjuzi.com/investevents/9362,小农女,本地生活,广东,A轮,8000万人民币,"高榕资本Banyan Fund,中路资本"
186,2015.6.27,https://www.itjuzi.com/investevents/9363,找煤网,电子商务,浙江,Pre-A轮,3000万人民币,"源码资本,元璟资本"
187,2015.6.27,https://www.itjuzi.com/investevents/9364,美狸美妆-美狸科技,本地生活,福建,天使轮,500万人民币,投资方未透露
188,2015.6.27,https://www.itjuzi.com/investevents/9365,家分期,房产服务,福建,天使轮,1000万人民币,好贷网
189,2015.6.27,https://www.itjuzi.com/investevents/12098,场地网,企业服务,广东,天使轮,150万人民币,投资方未透露
